timestamp,price_btc,market_cap_btc,total_volume_btc,price_tron,market_cap_tron,total_volume_tron
2023-12-20,0.07897850666845872,6972908137.734133,238562159.33423966,33186.565201845246,650029542412.9873,18382144082.823208
2023-12-21,0.08136789586072135,7180719066.228647,258128653.35259807,34520.7446287884,675916312535.2059,22416702454.223217
2023-12-22,0.08236614077855223,7279801787.529512,266584123.5837032,34559.526843469714,676250402123.5377,17298511918.431232
2023-12-23,0.08276866308688788,7310831806.016259,191309567.7551304,34651.32648398776,678654331891.492,16405974999.304756
2023-12-24,0.08406007194981616,7427877120.800961,194141616.74392608,34453.14924865536,674738775054.244,7773884749.495527
2023-12-25,0.08354514935096412,7415454899.875198,303496068.2136493,33951.32151097839,666663681383.2433,14448333679.060839
2023-12-26,0.08337561607325766,7365281163.571721,262460568.85410118,34344.20837279448,672380123501.5535,14752485813.692488
2023-12-27,0.08091239913760255,7149408375.914464,376517434.25761086,33405.96445909183,654039637673.7218,16089752962.123955
2023-12-28,0.08224805403554729,7272205479.911521,281899420.66860145,33925.01979602979,663381139255.6343,18162289168.796345
2023-12-29,0.08286097968208556,7311367719.434386,250299235.20953652,33462.129461934026,656655438833.63,15974053212.041735
2023-12-30,0.08303293912897038,7330833686.946183,332330386.0708592,33025.65781339986,645995753662.7186,19491668952.230877
2023-12-31,0.08322209163345316,7343489154.660429,281731113.6110174,33140.18228654333,648829498728.3783,11559825713.70305
2024-01-01,0.08454849307136472,7473508814.885364,203909244.4438245,33156.484386694596,650114912923.6271,11141971510.468252
2024-01-02,0.08467401636048631,7478024869.478048,282652487.95061684,34700.638518975116,678696710596.3499,13323651406.282127
2024-01-03,0.08596178480576724,7586138036.4679165,428019151.2036753,35647.795296346536,695923375262.2108,30969679568.08492
2024-01-04,0.08428265371859371,7439726539.794703,441966261.1183689,33794.68871112556,661566032600.3364,34050865229.675095
2024-01-05,0.08436953824996887,7450823283.173154,369173403.7123445,34849.05341220831,683179087501.0232,20599181287.099865
2024-01-06,0.08211910539590155,7246175972.205697,388214594.4279665,34666.971504376794,678735773761.348,23076377303.9606
2024-01-07,0.0817695061881787,7211750740.588255,300406233.90198576,34543.13724621645,676787103081.2671,9305389316.13097
2024-01-08,0.08097549538076657,7139598059.4877615,165280213.3534014,34521.49819240708,674216772389.6838,11913663073.219078
2024-01-09,0.0818600074724158,7219464630.929952,328726858.3575005,36827.11685122802,721476641239.9424,32029408021.644638
2024-01-10,0.08079593839950329,7131518241.934556,314147567.2507934,36278.60198953836,709919658073.9526,31385928261.34219
2024-01-11,0.08268720086755327,7289800811.834987,386098172.44653547,36589.99787930413,718131701703.1448,40825332336.67764
2024-01-12,0.08300679662940819,7335010522.417857,430788683.81617707,36245.29044636943,712151322765.6095,38502111216.91352
2024-01-13,0.08390754642880084,7396938717.108028,430177873.31257194,33644.92603431781,657762168313.379,36013245829.58986
2024-01-14,0.08952159236769353,7893461642.877645,765180443.1153382,33617.19916659269,658401764016.9958,15239880165.725735
2024-01-15,0.08740463271702202,7726040906.7273655,438378572.9796286,32819.16638648504,645953245652.4944,13322838855.887672
2024-01-16,0.08556168156130428,7566399568.06214,313840523.9851289,33490.68106056192,656843421267.3019,17799792287.250065
2024-01-17,0.08556230958123363,7552251514.512075,363139565.6322536,34145.68887654566,669474991615.09,17428257157.447083
2024-01-18,0.08545513712946154,7541370205.444158,287714283.87625736,33696.36551854758,660181814344.6754,16802534093.126879
